count,date
107849,2016-06-24
70708,2016-06-25
70785,2016-06-26
113242,2016-06-27
120647,2016-06-28
120664,2016-06-29
119192,2016-06-30
106963,2016-07-01
66892,2016-07-02
65562,2016-07-03
99390,2016-07-04
112064,2016-07-05
116297,2016-07-06
114722,2016-07-07
107209,2016-07-08
65417,2016-07-09
66251,2016-07-10
109351,2016-07-11
120527,2016-07-12
116556,2016-07-13
114748,2016-07-14
106606,2016-07-15
65603,2016-07-16
69382,2016-07-17
110224,2016-07-18
115130,2016-07-19
113908,2016-07-20
114684,2016-07-21
106860,2016-07-22
66778,2016-07-23
66135,2016-07-24
107083,2016-07-25
115540,2016-07-26
106091,2016-07-27
103927,2016-07-28
96523,2016-07-29
56372,2016-07-30
58372,2016-07-31
96933,2016-08-01
102829,2016-08-02
100967,2016-08-03
105825,2016-08-04
104413,2016-08-05
62689,2016-08-06
65773,2016-08-07
106851,2016-08-08
111906,2016-08-09
113336,2016-08-10
112902,2016-08-11
103257,2016-08-12
63735,2016-08-13
65458,2016-08-14
98811,2016-08-15
112519,2016-08-16
112121,2016-08-17
115943,2016-08-18
113546,2016-08-19
70364,2016-08-20
71165,2016-08-21
112490,2016-08-22
116420,2016-08-23
117286,2016-08-24
115387,2016-08-25
114222,2016-08-26
68751,2016-08-27
71417,2016-08-28
111345,2016-08-29
119774,2016-08-30
117461,2016-08-31
124450,2016-09-01
104063,2016-09-02
65545,2016-09-03
70061,2016-09-04
110090,2016-09-05
118595,2016-09-06
119405,2016-09-07
115601,2016-09-08
110856,2016-09-09
67898,2016-09-10
71727,2016-09-11
111647,2016-09-12
121311,2016-09-13
117433,2016-09-14
113011,2016-09-15
107133,2016-09-16
69876,2016-09-17
76861,2016-09-18
207539,2016-09-19
211907,2016-09-20
115586,2016-09-21
114577,2016-09-22
108476,2016-09-23
69383,2016-09-24
74402,2016-09-25
112116,2016-09-26
117427,2016-09-27
117981,2016-09-28
118991,2016-09-29
112222,2016-09-30
75117,2016-10-01
72906,2016-10-02
107800,2016-10-03
116034,2016-10-04
117316,2016-10-05
115254,2016-10-06
107448,2016-10-07
72432,2016-10-08
76784,2016-10-09
110522,2016-10-10
119741,2016-10-11
119751,2016-10-12
118099,2016-10-13
113115,2016-10-14
73671,2016-10-15
80561,2016-10-16
125105,2016-10-17
129188,2016-10-18
128512,2016-10-19
123334,2016-10-20
109494,2016-10-21
79920,2016-10-22
83321,2016-10-23
122993,2016-10-24
131497,2016-10-25
129198,2016-10-26
124429,2016-10-27
112867,2016-10-28
74637,2016-10-29
79427,2016-10-30
117486,2016-10-31
121302,2016-11-01
126222,2016-11-02
126317,2016-11-03
117295,2016-11-04
81645,2016-11-05
85645,2016-11-06
124080,2016-11-07
129317,2016-11-08
111609,2016-11-09
119155,2016-11-10
107225,2016-11-11
75818,2016-11-12
82806,2016-11-13
125930,2016-11-14
130239,2016-11-15
128174,2016-11-16
126007,2016-11-17
116300,2016-11-18
77548,2016-11-19
84942,2016-11-20
122578,2016-11-21
126893,2016-11-22
124738,2016-11-23
107507,2016-11-24
98181,2016-11-25
75813,2016-11-26
80099,2016-11-27
124269,2016-11-28
131038,2016-11-29
127829,2016-11-30
126982,2016-12-01
119518,2016-12-02
75970,2016-12-03
80522,2016-12-04
121174,2016-12-05
127706,2016-12-06
125967,2016-12-07
128137,2016-12-08
117651,2016-12-09
78974,2016-12-10
90882,2016-12-11
126016,2016-12-12
129544,2016-12-13
128731,2016-12-14
126021,2016-12-15
118642,2016-12-16
73489,2016-12-17
78138,2016-12-18
120337,2016-12-19
124447,2016-12-20
119749,2016-12-21
114376,2016-12-22
93417,2016-12-23
60717,2016-12-24
53888,2016-12-25
72759,2016-12-26
91326,2016-12-27
96846,2016-12-28
98411,2016-12-29
92818,2016-12-30
67512,2016-12-31
63456,2017-01-01
92893,2017-01-02
117040,2017-01-03
123662,2017-01-04
121671,2017-01-05
114940,2017-01-06
83090,2017-01-07
93893,2017-01-08
125326,2017-01-09
134202,2017-01-10
130338,2017-01-11
129583,2017-01-12
121092,2017-01-13
84258,2017-01-14
89433,2017-01-15
121649,2017-01-16
130872,2017-01-17
136124,2017-01-18
133758,2017-01-19
122623,2017-01-20
87673,2017-01-21
96641,2017-01-22
128802,2017-01-23
131772,2017-01-24
133356,2017-01-25
123212,2017-01-26
114953,2017-01-27
79578,2017-01-28
86420,2017-01-29
121705,2017-01-30
129225,2017-01-31
126556,2017-02-01
131286,2017-02-02
124143,2017-02-03
88791,2017-02-04
91020,2017-02-05
127166,2017-02-06
137594,2017-02-07
137727,2017-02-08
134871,2017-02-09
130450,2017-02-10
89486,2017-02-11
96622,2017-02-12
133135,2017-02-13
134498,2017-02-14
133964,2017-02-15
139425,2017-02-16
131641,2017-02-17
89920,2017-02-18
93986,2017-02-19
131653,2017-02-20
140788,2017-02-21
143426,2017-02-22
136914,2017-02-23
131230,2017-02-24
90745,2017-02-25
95062,2017-02-26
133871,2017-02-27
137251,2017-02-28
137950,2017-03-01
136591,2017-03-02
127809,2017-03-03
86803,2017-03-04
94917,2017-03-05
135391,2017-03-06
140659,2017-03-07
136428,2017-03-08
137962,2017-03-09
136395,2017-03-10
89428,2017-03-11
94052,2017-03-12
134959,2017-03-13
143420,2017-03-14
140333,2017-03-15
138937,2017-03-16
128294,2017-03-17
87342,2017-03-18
94043,2017-03-19
137824,2017-03-20
142273,2017-03-21
140031,2017-03-22
150599,2017-03-23
129222,2017-03-24
87190,2017-03-25
92394,2017-03-26
134999,2017-03-27
142757,2017-03-28
149576,2017-03-29
143188,2017-03-30
130420,2017-03-31
88888,2017-04-01
87017,2017-04-02
129921,2017-04-03
137945,2017-04-04
141236,2017-04-05
138860,2017-04-06
127761,2017-04-07
85626,2017-04-08
89917,2017-04-09
132129,2017-04-10
135749,2017-04-11
136242,2017-04-12
128836,2017-04-13
109299,2017-04-14
82120,2017-04-15
80991,2017-04-16
120041,2017-04-17
138223,2017-04-18
138438,2017-04-19
138855,2017-04-20
130657,2017-04-21
88023,2017-04-22
91781,2017-04-23
135203,2017-04-24
138721,2017-04-25
137496,2017-04-26
133746,2017-04-27
128161,2017-04-28
81441,2017-04-29
83882,2017-04-30
110421,2017-05-01
133633,2017-05-02
137428,2017-05-03
135318,2017-05-04
131059,2017-05-05
85248,2017-05-06
86267,2017-05-07
126896,2017-05-08
138497,2017-05-09
137661,2017-05-10
137622,2017-05-11
125577,2017-05-12
83915,2017-05-13
84276,2017-05-14
128914,2017-05-15
134752,2017-05-16
130951,2017-05-17
128013,2017-05-18
126280,2017-05-19
85046,2017-05-20
83664,2017-05-21
129002,2017-05-22
130253,2017-05-23
132441,2017-05-24
120011,2017-05-25
119882,2017-05-26
81247,2017-05-27
77195,2017-05-28
115671,2017-05-29
126545,2017-05-30
138183,2017-05-31
130526,2017-06-01
126928,2017-06-02
78929,2017-06-03
84786,2017-06-04
121271,2017-06-05
129639,2017-06-06
135531,2017-06-07
129052,2017-06-08
118416,2017-06-09
81788,2017-06-10
81498,2017-06-11
121122,2017-06-12
134493,2017-06-13
131837,2017-06-14
129180,2017-06-15
117198,2017-06-16
78329,2017-06-17
77334,2017-06-18
123535,2017-06-19
126632,2017-06-20
126228,2017-06-21
126422,2017-06-22
115770,2017-06-23
73863,2017-06-24
80369,2017-06-25
115638,2017-06-26
121893,2017-06-27
125502,2017-06-28
122897,2017-06-29
113950,2017-06-30
71770,2017-07-01
75988,2017-07-02
111772,2017-07-03
107425,2017-07-04
122412,2017-07-05
120593,2017-07-06
113371,2017-07-07
75696,2017-07-08
75230,2017-07-09
116053,2017-07-10
122205,2017-07-11
120081,2017-07-12
120956,2017-07-13
109815,2017-07-14
76728,2017-07-15
79623,2017-07-16
117590,2017-07-17
124931,2017-07-18
123853,2017-07-19
120898,2017-07-20
111410,2017-07-21
76731,2017-07-22
78884,2017-07-23
119990,2017-07-24
133488,2017-07-25
125063,2017-07-26
125056,2017-07-27
116609,2017-07-28
79527,2017-07-29
82342,2017-07-30
116600,2017-07-31
123683,2017-08-01
122264,2017-08-02
119225,2017-08-03
112843,2017-08-04
74850,2017-08-05
78532,2017-08-06
114553,2017-08-07
124776,2017-08-08
119022,2017-08-09
119462,2017-08-10
114639,2017-08-11
73344,2017-08-12
77647,2017-08-13
110835,2017-08-14
115721,2017-08-15
118270,2017-08-16
114687,2017-08-17
113793,2017-08-18
74150,2017-08-19
77349,2017-08-20
107846,2017-08-21
121789,2017-08-22
117422,2017-08-23
115581,2017-08-24
108834,2017-08-25
77320,2017-08-26
76554,2017-08-27
112159,2017-08-28
120848,2017-08-29
121972,2017-08-30
122065,2017-08-31
109825,2017-09-01
70677,2017-09-02
79169,2017-09-03
104070,2017-09-04
118165,2017-09-05
118562,2017-09-06
117114,2017-09-07
113073,2017-09-08
78495,2017-09-09
82554,2017-09-10
116915,2017-09-11
124227,2017-09-12
118728,2017-09-13
119140,2017-09-14
116157,2017-09-15
77326,2017-09-16
83508,2017-09-17
117909,2017-09-18
123536,2017-09-19
122725,2017-09-20
122040,2017-09-21
111905,2017-09-22
81426,2017-09-23
82678,2017-09-24
119782,2017-09-25
126242,2017-09-26
125059,2017-09-27
123198,2017-09-28
114622,2017-09-29
83862,2017-09-30
81077,2017-10-01
115833,2017-10-02
120864,2017-10-03
121351,2017-10-04
119817,2017-10-05
118256,2017-10-06
82890,2017-10-07
91576,2017-10-08
122788,2017-10-09
130206,2017-10-10
129398,2017-10-11
124299,2017-10-12
116897,2017-10-13
80151,2017-10-14
87218,2017-10-15
121629,2017-10-16
126940,2017-10-17
126034,2017-10-18
126144,2017-10-19
119408,2017-10-20
85616,2017-10-21
91643,2017-10-22
127621,2017-10-23
125807,2017-10-24
126782,2017-10-25
125051,2017-10-26
117356,2017-10-27
83146,2017-10-28
93139,2017-10-29
